Unnamed: 0;Seller;Address;Date_Item;Current_Price;Last_Price;Item_Link
;ИП Билалова Рената;р-н Калининский;16.7.2025;1 000 000;1 000 000;http://avito.ru/ufa/gotoviy_biznes/prodam_pribylnyy_punkt_vydachi_ozon_v_ufe_7483352593?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Калининский;16.7.2025;900 000;900 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_vb_7464263676?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;PVZ i tochka.;р-н Ленинский;16.7.2025;259 100;259 100;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_pod_klyuch_7516952539?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Советский;16.7.2025;670 000;670 000;http://avito.ru/ufa/gotoviy_biznes/prodam_punkt_vydachi_zakazov_ozon_i_wildberries_7270967843?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Октябрьский;16.7.2025;1 800 000;1 800 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_wildberries_7471511959?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Владимир;р-н Октябрьский;16.7.2025;750 000;750 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_wb_7439161635?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;PVZ i tochka.;р-н Советский;16.7.2025;259 000;259 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_pod_klyuch_7452322429?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Директор;р-н Советский;16.7.2025;250 000;250 000;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_yandeks_market_7507212706?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Советский;16.7.2025;150 000;150 000;http://avito.ru/ufa/gotoviy_biznes/prodam_pvz_wildberries_7543502479?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Партнерство;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz._besplatno._bez_vlozheniy_7491515826?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Бизнес решения;р-н Кировский;16.7.2025;1 249 000;1 249 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_7396579906?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;PVZ i tochka.;р-н Орджоникидзевский;16.7.2025;259 300;259 300;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_pod_klyuch_7516195085?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Партнеры;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam._gotovyy_pvz._bez_vlozheniy_7511177078?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Компанни;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_punkt_wildberries_7334882457?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Маркет-сервис;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz_ozon_7398173192?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Советский;16.7.2025;850 000;850 000;http://avito.ru/ufa/gotoviy_biznes/pvz_ozon_7360040644?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';р-н Дёмский;16.7.2025;259 200;259 200;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_pod_klyuch_7516856352?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Орджоникидзевский;16.7.2025;259 300;259 300;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_pod_klyuch_7516195085?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Кировский;16.7.2025;259 500;259 500;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_ozon_pod_klyuch_7516456236?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Ленинский;16.7.2025;259 100;259 100;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_pod_klyuch_7516952539?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Дёмский;16.7.2025;150 000;150 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_7519139587?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;259 000;259 000;http://avito.ru/ufa/gotoviy_biznes/otkrytie_pvz_pod_klyuch_7516797218?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;1 025 000;1 025 000;http://avito.ru/ufa/gotoviy_biznes/investiruy_v_krupnuyu_set_s_dolgosrochnoy_perspektivoy_pribyli_7492002045?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz._besplatno._bez_vlozheniy_7491515826?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam._gotovyy_pvz._bez_vlozheniy_7511177078?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Кировский;16.7.2025;2 350 000;2 350 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_wildberries_7456211459?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Калининский;16.7.2025;259 900;259 900;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_ozon_pod_klyuch_7452904639?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Орджоникидзевский;16.7.2025;259 700;259 700;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_pod_klyuch_7452967087?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Ленинский;16.7.2025;258 000;258 000;http://avito.ru/ufa/gotoviy_biznes/otkrytie_punkta_vydachi_zakazov_ozon_pod_klyuch_7452789945?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Кировский;16.7.2025;255 000;255 000;http://avito.ru/ufa/gotoviy_biznes/otkrytie_pvz_yandeks_market_pod_klyuch_7452301114?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;260 000;260 000;http://avito.ru/ufa/gotoviy_biznes/punkty_vydachi_zakazov_ozon_pod_klyuch_7452909438?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;259 000;259 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_pod_klyuch_7452322429?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Кировский;16.7.2025;1 249 000;1 249 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_ozon_7396579906?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz_ozon_7398173192?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_punkt_vydachi_zakazov_7414002575?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz_7402182438?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_punkt_wildberries_7334882457?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_rabotayuschiy_pvz._besplatno_7268426363?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Советский;16.7.2025;90 000;90 000;http://avito.ru/ufa/gotoviy_biznes/punkt_vydachi_zakazov_yandeks_market_na_podderzhke_7248060386?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;'Без имени';р-н Октябрьский;16.7.2025;900 000;900 000;http://avito.ru/ufa/gotoviy_biznes/prodaetsya_pvz_vayldberriz_4450578584?context=H4sIAAAAAAAA_wFqAJX_YTozOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czozOiJzcmMiO3M6MTA6ImJyb2FkbWF0Y2giO3M6MToieCI7czozMToidnB1ZmFwY2l1ZDJidm10MXUxZ3B2eHliczRiczAzcCI7ffmpqStqAAAA
;job_hh;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_punkt_vydachi_zakazov_7414002575?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Партнеры и Ко;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_pvz_7402182438?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Бизнес;р-н Советский;16.7.2025;Бесплатно;Бесплатно;http://avito.ru/ufa/gotoviy_biznes/otdam_rabotayuschiy_pvz._besplatno_7268426363?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;Михаил Иванович - инвест;р-н Советский;16.7.2025;1 025 000;1 025 000;http://avito.ru/ufa/gotoviy_biznes/investiruy_v_krupnuyu_set_s_dolgosrochnoy_perspektivoy_pribyli_7492002045?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';Пермский край, Пермь;16.7.2025;1 000 000;1 000 000;http://avito.ru/perm/gotoviy_biznes/pvz_ozon_rentabelnyy_7470014330?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
;'Без имени';Республика Башкортостан, Мелеузовский р-н, городское поселение Мелеуз, Мелеуз;16.7.2025;500 000;500 000;http://avito.ru/meleuz/gotoviy_biznes/prodazha_punkta_vydachi_ozon_7512161908?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiJqYlR6RTZEVFB4NDNKRXVCIjt9luv8AT8AAAA
